Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Original,4,4,1,0.25
Original,4,4,2,0.25
Original,4,4,3,0.25
Original,4,4,4,0.25
Original,4,4,5,0.5
Original,4,4,6,0.5
Original,4,4,7,0.5
Original,4,4,8,0.5
Original,4,4,9,0.75
Original,4,4,10,0.75
Original,4,4,11,0.75
Original,4,4,12,0.75
Original,4,4,13,0.75
Original,4,4,14,0.5
Original,4,4,15,0.5
Original,4,4,16,0.5
Original,4,4,17,0.5
Original,4,4,18,0.5
Original,4,4,19,0.25
Original,4,4,20,0.25
Original,4,4,21,0.25
Original,4,4,22,0.25
Original,4,4,23,0.25
Original,4,4,24,0
Original,4,4,25,0
Original,4,4,26,0
Original,4,4,27,0
Original,4,4,28,0.75
Original,4,4,29,0.75
Original,4,4,30,0.75
Original,4,4,31,0.75
Original,4,4,32,0.75
Original,4,4,33,0.75
Original,4,4,34,0.75
Original,4,4,35,0.5
Original,4,4,36,0.5
Original,4,4,37,0.5
Original,4,4,38,0.5
Original,4,4,39,0.75
Original,4,4,40,0.75
Original,4,4,41,0.75
Original,4,4,42,0.75
Original,4,4,43,0.75
Original,4,4,44,0.5
Original,4,4,45,0.5
Original,4,4,46,0.5
Original,4,4,47,0.5
Original,4,4,48,0.5
Original,4,4,49,0.5
Original,4,4,50,0.5
Original,4,4,51,0.5
Original,4,4,52,0.5
Original,4,4,53,0.5
Original,4,4,54,0.75
Original,4,4,55,0.75
Original,4,4,56,0.75
Original,4,4,57,0.75
Original,4,4,58,0.75
Original,4,4,59,0.5
Original,4,4,60,0.5
Original,4,4,61,0.5
Original,4,4,62,0.5
Original,4,4,63,1
Original,4,4,64,1
Original,4,4,65,1
Original,4,4,66,1
Original,4,4,67,1
Original,4,4,68,1
Original,4,4,69,1
Original,4,4,70,1
Original,4,4,71,1
Original,4,4,72,1
Original,4,4,73,1
Original,4,4,74,0.5
Original,4,4,75,0.5
Original,4,4,76,0.5
Original,4,4,77,0.5
Original,4,4,78,0.5
Original,4,4,79,0.5
Original,4,4,80,0.5
Original,4,4,81,0.5
Original,4,4,82,0.5
Original,4,4,83,0.5
Original,4,4,84,0.25
Original,4,4,85,0.25
Original,4,4,86,0.25
Original,4,4,87,0.25
Original,4,4,88,0.75
Original,4,4,89,0.75
Original,4,4,90,0.75
Original,4,4,91,1
Original,4,4,92,0.75
Original,4,4,93,0.75
Original,4,4,94,0.75
Original,4,4,95,0.75
Original,4,4,96,0.75
Original,4,4,97,0.75
Original,4,4,98,0.75
Original,4,4,99,0.75
Original,4,4,100,0.75
Original,4,40,1,0.475
Original,4,40,2,0.5
Original,4,40,3,0.5
Original,4,40,4,0.55
Original,4,40,5,0.55
Original,4,40,6,0.525
Original,4,40,7,0.525
Original,4,40,8,0.525
