Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Org,4,4,10,0.25
Org,4,4,10,0.25
Org,4,4,10,0.25
Org,4,4,10,0.5
Org,4,4,10,0.5
Org,4,4,10,0.5
Org,4,4,10,0.5
Org,4,4,10,0.5
Org,4,4,10,0.5
Org,4,4,10,1
Org,4,40,10,0.525
Org,4,40,10,0.625
Org,4,40,10,0.625
Org,4,40,10,0.425
Org,4,40,10,0.45
Org,4,40,10,0.675
Org,4,40,10,0.625
Org,4,40,10,0.35
Org,4,40,10,0.55
Org,4,40,10,0.55
Org,4,400,10,0.86
Org,4,400,10,0.555
Org,4,400,10,0.4975
Org,4,400,10,0.7375
Org,4,400,10,0.4825
Org,4,400,10,0.5725
Org,4,400,10,0.5325
Org,4,400,10,0.675
Org,4,400,10,0.435
Org,4,400,10,0.525
Org,4,4000,10,0.48525
Org,4,4000,10,0.58475
Org,4,4000,10,0.49675
Org,4,4000,10,0.57025
Org,4,4000,10,0.489
Org,4,4000,10,0.524
Org,4,4000,10,0.519
Org,4,4000,10,0.46825
Org,4,4000,10,0.744
Org,4,4000,10,0.745
Org,40,4,10,0.75
Org,40,4,10,0.75
Org,40,4,10,1
Org,40,4,10,1
Org,40,4,10,1
Org,40,4,10,0.75
Org,40,4,10,0.75
Org,40,4,10,1
Org,40,4,10,1
Org,40,4,10,1
Org,40,40,10,0.925
Org,40,40,10,0.825
Org,40,40,10,0.925
Org,40,40,10,0.975
Org,40,40,10,0.975
Org,40,40,10,0.925
Org,40,40,10,0.925
Org,40,40,10,0.975
Org,40,40,10,0.9
Org,40,40,10,0.925
Org,40,400,10,0.965
Org,40,400,10,0.945
Org,40,400,10,0.9375
Org,40,400,10,0.9825
Org,40,400,10,0.9775
Org,40,400,10,0.9825
Org,40,400,10,0.97
Org,40,400,10,0.9875
Org,40,400,10,0.92
Org,40,400,10,0.9425
Org,40,4000,10,0.96375
Org,40,4000,10,0.98425
Org,40,4000,10,0.89475
Org,40,4000,10,0.97175
Org,40,4000,10,0.971
Org,40,4000,10,0.9335
Org,40,4000,10,0.94175
Org,40,4000,10,0.84225
Org,40,4000,10,0.96775
Org,40,4000,10,0.9765
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,4,10,1
Org,400,40,10,1
Org,400,40,10,1
Org,400,40,10,0.975
Org,400,40,10,0.975
Org,400,40,10,0.95
Org,400,40,10,1
Org,400,40,10,1
Org,400,40,10,1
Org,400,40,10,1
Org,400,40,10,0.975
Org,400,400,10,1
Org,400,400,10,0.9975
Org,400,400,10,0.995
Org,400,400,10,1
Org,400,400,10,0.995
Org,400,400,10,0.9975
Org,400,400,10,0.9975
Org,400,400,10,0.9925
Org,400,400,10,0.9975
Org,400,400,10,0.9975
Org,400,4000,10,0.9945
Org,400,4000,10,0.99325
Org,400,4000,10,0.99575
Org,400,4000,10,0.9965
Org,400,4000,10,0.99625
Org,400,4000,10,0.99375
Org,400,4000,10,0.99025
Org,400,4000,10,0.9965
Org,400,4000,10,0.98025
Org,400,4000,10,0.9945
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
Org,4000,4,10,1
